trip_id,arrival_time,departure_time,stop_id,stop_sequence
T6_0700,07:00:00,07:00:00,S08,1
T6_0700,07:04:00,07:04:30,S01,2
T6_0700,07:06:30,07:07:00,S02,3
T6_0700,07:09:00,07:09:00,S03,4
T6_0700,07:12:00,07:12:00,S05,5
T6_0730,07:30:00,07:30:00,S08,1
T6_0730,07:34:00,07:34:30,S01,2
T6_0730,07:36:30,07:37:00,S02,3
T6_0730,07:39:00,07:39:00,S03,4
T6_0730,07:42:00,07:42:00,S05,5
T6_0800,08:00:00,08:00:00,S08,1
T6_0800,08:04:00,08:04:30,S01,2
T6_0800,08:06:30,08:07:00,S02,3
T6_0800,08:09:00,08:09:00,S03,4
T6_0800,08:12:00,08:12:00,S05,5
T9_0710,07:10:00,07:10:00,S07,1
T9_0710,07:12:00,07:12:30,S01,2
T9_0710,07:14:30,07:15:00,S06,3
T9_0710,07:18:00,07:18:00,S03,4
T9_0710,07:19:00,07:19:00,S04,5
T9_0710,07:22:00,07:22:00,S05,6
T9_0740,07:40:00,07:40:00,S07,1
T9_0740,07:42:00,07:42:30,S01,2
T9_0740,07:44:30,07:45:00,S06,3
T9_0740,07:48:00,07:48:00,S03,4
T9_0740,07:49:00,07:49:00,S04,5
T9_0740,07:52:00,07:52:00,S05,6
T9_0810,08:10:00,08:10:00,S07,1
T9_0810,08:12:00,08:12:30,S01,2
T9_0810,08:14:30,08:15:00,S06,3
T9_0810,08:18:00,08:18:00,S03,4
T9_0810,08:19:00,08:19:00,S04,5
T9_0810,08:22:00,08:22:00,S05,6
B10_0705,07:05:00,07:05:00,S01,1
B10_0705,07:08:00,07:08:30,S08,2
B10_0705,07:11:30,07:12:00,S09,3
B10_0705,07:17:00,07:17:00,S10,4
B10_0735,07:35:00,07:35:00,S01,1
B10_0735,07:38:00,07:38:30,S08,2
B10_0735,07:41:30,07:42:00,S09,3
B10_0735,07:47:00,07:47:00,S10,4
B10_0805,08:05:00,08:05:00,S01,1
B10_0805,08:08:00,08:08:30,S08,2
B10_0805,08:11:30,08:12:00,S09,3
B10_0805,08:17:00,08:17:00,S10,4
